individual	sex	population	description	super_population
HG01879	m	ACB	African Caribbeans in Barbados	AFR
HG01880	f	ACB	African Caribbeans in Barbados	AFR
HG01882	m	ACB	African Caribbeans in Barbados	AFR
HG01883	f	ACB	African Caribbeans in Barbados	AFR
HG01885	m	ACB	African Caribbeans in Barbados	AFR
HG01886	f	ACB	African Caribbeans in Barbados	AFR
HG01889	f	ACB	African Caribbeans in Barbados	AFR
HG01890	m	ACB	African Caribbeans in Barbados	AFR
HG01894	f	ACB	African Caribbeans in Barbados	AFR
HG01896	f	ACB	African Caribbeans in Barbados	AFR
HG01912	m	ACB	African Caribbeans in Barbados	AFR
HG01914	m	ACB	African Caribbeans in Barbados	AFR
HG01915	f	ACB	African Caribbeans in Barbados	AFR
HG01956	f	ACB	African Caribbeans in Barbados	AFR
HG01958	f	ACB	African Caribbeans in Barbados	AFR
HG01985	f	ACB	African Caribbeans in Barbados	AFR
HG01986	m	ACB	African Caribbeans in Barbados	AFR
HG01988	m	ACB	African Caribbeans in Barbados	AFR
HG01989	f	ACB	African Caribbeans in Barbados	AFR
HG01990	m	ACB	African Caribbeans in Barbados	AFR
HG02009	m	ACB	African Caribbeans in Barbados	AFR
HG02010	f	ACB	African Caribbeans in Barbados	AFR
HG02012	f	ACB	African Caribbeans in Barbados	AFR
HG02013	m	ACB	African Caribbeans in Barbados	AFR
HG02014	m	ACB	African Caribbeans in Barbados	AFR
HG02051	m	ACB	African Caribbeans in Barbados	AFR
HG02052	f	ACB	African Caribbeans in Barbados	AFR
HG02053	m	ACB	African Caribbeans in Barbados	AFR
HG02054	f	ACB	African Caribbeans in Barbados	AFR
HG02095	f	ACB	African Caribbeans in Barbados	AFR
HG02107	m	ACB	African Caribbeans in Barbados	AFR
HG02108	f	ACB	African Caribbeans in Barbados	AFR
HG02111	f	ACB	African Caribbeans in Barbados	AFR
HG02143	m	ACB	African Caribbeans in Barbados	AFR
HG02144	f	ACB	African Caribbeans in Barbados	AFR
HG02255	m	ACB	African Caribbeans in Barbados	AFR
HG02256	f	ACB	African Caribbeans in Barbados	AFR
HG02281	m	ACB	African Caribbeans in Barbados	AFR
HG02282	f	ACB	African Caribbeans in Barbados	AFR
HG02283	m	ACB	African Caribbeans in Barbados	AFR
HG02284	m	ACB	African Caribbeans in Barbados	AFR
HG02307	m	ACB	African Caribbeans in Barbados	AFR
HG02308	f	ACB	African Caribbeans in Barbados	AFR
HG02309	f	ACB	African Caribbeans in Barbados	AFR
HG02314	m	ACB	African Caribbeans in Barbados	AFR
HG02315	f	ACB	African Caribbeans in Barbados	AFR
HG02317	m	ACB	African Caribbeans in Barbados	AFR
HG02318	f	ACB	African Caribbeans in Barbados	AFR
HG02322	f	ACB	African Caribbeans in Barbados	AFR
HG02323	m	ACB	African Caribbeans in Barbados	AFR
HG02325	f	ACB	African Caribbeans in Barbados	AFR
HG02330	m	ACB	African Caribbeans in Barbados	AFR
HG02332	m	ACB	African Caribbeans in Barbados	AFR
HG02334	m	ACB	African Caribbeans in Barbados	AFR
HG02337	f	ACB	African Caribbeans in Barbados	AFR
HG02339	f	ACB	African Caribbeans in Barbados	AFR
HG02343	m	ACB	African Caribbeans in Barbados	AFR
HG02419	f	ACB	African Caribbeans in Barbados	AFR
HG02420	m	ACB	African Caribbeans in Barbados	AFR
HG02427	f	ACB	African Caribbeans in Barbados	AFR
HG02429	m	ACB	African Caribbeans in Barbados	AFR
HG02433	m	ACB	African Caribbeans in Barbados	AFR
HG02439	m	ACB	African Caribbeans in Barbados	AFR
HG02442	m	ACB	African Caribbeans in Barbados	AFR
HG02445	m	ACB	African Caribbeans in Barbados	AFR
HG02449	m	ACB	African Caribbeans in Barbados	AFR
HG02450	f	ACB	African Caribbeans in Barbados	AFR
HG02455	m	ACB	African Caribbeans in Barbados	AFR
HG02470	m	ACB	African Caribbeans in Barbados	AFR
HG02471	f	ACB	African Caribbeans in Barbados	AFR
HG02476	f	ACB	African Caribbeans in Barbados	AFR
HG02477	f	ACB	African Caribbeans in Barbados	AFR
HG02479	f	ACB	African Caribbeans in Barbados	AFR
HG02481	m	ACB	African Caribbeans in Barbados	AFR
